博物馆
合浦汉代文化博物馆
中国国家博物馆
中国历史博物馆
中国艺术研究院音乐研究所、湖南省博物馆、山东省博物馆
国家博物馆
国家博物馆
河南博物院
福建省博物馆
中国国家博物馆
湖北省博物馆
辽宁朝阳市博物馆馆
福建省博物馆
